# MODIS Aqua GEOGRAPHIC METADATA TEXT FILE day 2021-01-01
# NFiles = 288, max geo IngestTime = 2021-01-02 16:44:57.368588
# GranuleID,StartDateTime,ArchiveSet,OrbitNumber,DayNightFlag,EastBoundingCoord,NorthBoundingCoord,SouthBoundingCoord,WestBoundingCoord,GRingLongitude1,GRingLongitude2,GRingLongitude3,GRingLongitude4,GRingLatitude1,GRingLatitude2,GRingLatitude3,GRingLatitude4
MYD03.A2021001.0000.061.2021001221825.hdf,2021-01-01 00:00,61,99269,N,30.9488869114432,-36.8842786678093,-58.7970163441656,-7.97037788432248,3.89449992627706,31.4588665285411,29.9495959729482,-8.14581436001695,-36.8728686017489,-40.8113768593364,-59.1364459604362,-53.2284555110438
MYD03.A2021001.0005.061.2021001222156.hdf,2021-01-01 00:05,61,99269,B,33.6828395517414,-53.2240127050196,-76.633943229548,-33.1629624157683,-7.90295813142718,30.6370848450442,33.8540620065306,-33.5093700514956,-53.2180640132522,-58.6891839593087,-76.8572986653306,-66.4972350927662
MYD03.A2021001.0010.061.2021001223130.hdf,2021-01-01 00:10,61,99269,D,180,-66.64748600133,-89.9869658845347,-180,-32.986257677881,35.3798014479937,171.101902607152,-82.9651085672763,-66.6425799350073,-76.2751331125657,-84.4011419653881,-70.0884293037995
MYD03.A2021001.0015.061.2021001222318.hdf,2021-01-01 00:15,61,99269,D,-83.005220576715,-60.5960576737411,-85.5795742629866,168.045095382034,-83.0032740548875,164.905051731692,-169.685633266963,-120.572421992084,-70.4539436208948,-84.661135825199,-67.1601760928633,-60.3208087577284
MYD03.A2021001.0020.061.2021001222037.hdf,2021-01-01 00:20,61,99269,D,-121.170993390016,-45.343291512481,-67.7423434663741,-169.848403541564,-121.169438303903,-170.418772085266,-169.383551720751,-137.405631181362,-60.6583582270281,-67.6607646415106,-49.4657238036265,-45.1622906035397
MYD03.A2021001.0025.061.2021001221741.hdf,2021-01-01 00:25,61,99269,D,-137.984369802092,-28.4981303525738,-49.9141003582221,-171.096141022368,-137.981924588695,-169.606508335261,-171.114931116597,-146.354435320077,-45.4144094805242,-49.930250265115,-31.7036937947125,-28.3890715846904
MYD03.A2021001.0030.061.2021001221935.hdf,2021-01-01 00:30,61,99269,D,-146.801347734265,-11.0176910460153,-32.0509109052848,-173.736156718746,-146.796729536333,-171.166076607557,-173.758758511915,-152.135558974698,-28.5724889957661,-32.072958333781,-13.9229281440745,-10.9620884620975
MYD03.A2021001.0035.061.2021001221829.hdf,2021-01-01 00:35,61,99269,D,-152.44100992101,6.77123927626227,-14.1422751673259,-177.257640437913,-152.435057220919,-173.737140680205,-177.265176495981,-156.363505910988,-11.0898497485067,-14.1621402612119,3.80618284723342,6.7896552433443
MYD03.A2021001.0040.061.2021001221911.hdf,2021-01-01 00:40,61,99270,D,-156.503512572397,24.6899417625545,3.723708570485,177.970809292631,-156.457903457849,-177.245519157597,177.908676357784,-159.624216325917,6.70160419923236,3.70558983050856,21.4655855671107,24.8163849519398
MYD03.A2021001.0045.061.2021001221730.hdf,2021-01-01 00:45,61,99270,D,-159.603032024657,42.6336538251372,21.407597926151,170.874401875592,-159.375812493512,177.986397966532,170.722957234238,-161.924738536187,24.6323369401705,21.3923839109369,38.6914109831062,42.8849243614885
MYD03.A2021001.0050.061.2021001221721.hdf,2021-01-01 00:50,61,99270,D,-161.883554265499,60.540773401414,38.664764187161,158.43349573833,-161.447745334185,170.908716960572,158.112586131029,-162.944089923475,42.5648698613866,38.6540492330462,54.8628629040174,60.879205995068
